materials,mol_weight
Zn,65.4
Ag,107.868
Au,196.96657
ZnO,81.4
TiO2,79.866
CuO,79.55
CdO,128.41
Bi2O3,465.959
CeO2,172.115
Cu,63.55
Fe3O4,231.53
Co3O4,240.797
WO3,231.84
MgO,40.305
Sb2O3,291.52
Pd,106.42
Mn3O4,228.812
Al2O3,101.961
SiO2,60.084
NiO,74.693
La2O3,325.809
Gd0.97CoO3,
La2NiO4,400.502
(La0.6Sr0.4)0.95CoO3,
Ce0.9Gd0.1O2,
LaCoO3,245.837
LaFeO3,242.75
(La0.5Sr0.5)0.99MnO3,
Ce0.8Pr0.2O2,
Co,58.93319
Se,78.97
Fe2O3,159.69
SnO2,150.71
CuFe2O4,239.23
CoFe2O4,234.62
NiFe2O4,234.38
Al,26.981538
Ni,58.693
Mn2O3,157.874
Pt,195.08
ZrO2,123.22
PbS,239
Al2O3.TiO2,
BaFe12O19,1111.5
Cr2O3,151.99
CuZnFe4O4,
Mg(OH)2,58.32
Sn,118.71
W,183.84
CdS,144.48
Ag-Au,
Cr,51.996
In2O3,277.63
ZnS,97.4
BaTiO3,233.19
B,10.81
Ag2S,247.8
Ag2O,231.736
Y2O3,225.81
